Company Name,Franchise sinds,Aantal vestigingen,Waarvan franchise ,Totale investering ,Eigen vermogen ,Main Url
Maxx aanhuurmakelaars,,6,4,€ 25.000,€ 40.000,https://franchiseplus.nl/franchiseformule/maxx-aanhuurmakelaars
MatrasCleaner,2005,54,54,€ 9.950,€ 3.000,https://franchiseplus.nl/franchiseformule/matrascleaner
Martinez Chocolatier,2009,4,4,,,https://franchiseplus.nl/franchiseformule/martinez-chocolatier
Marskramer,,44,44,€ 12.000,,https://franchiseplus.nl/franchiseformule/marskramer
Marco Leer,,3,2,,€ 13.000,https://franchiseplus.nl/franchiseformule/marco-leer
Service Apotheek,0,0,0,,,https://franchiseplus.nl/franchiseformule/service-apotheek
SelectiePunt,2008,18,16,,,https://franchiseplus.nl/franchiseformule/selectiepunt
Superkeukens,1999,45,45,€ 150.000,,https://franchiseplus.nl/franchiseformule/superkeukens
Sunday's,2000,63,62,€ 200.000,€ 40.000,https://franchiseplus.nl/franchiseformule/sundays
StumpBusters,1994,39,39,€ 40.000,€ 12.000,https://franchiseplus.nl/franchiseformule/stumpbusters
Strongwood International,2005,0,0,,,https://franchiseplus.nl/franchiseformule/strongwood-international
Stichting Thuishuis,2001,42,42,,,https://franchiseplus.nl/franchiseformule/stichting-thuishuis
Steyn&Allberg,2014,22,20,,,https://franchiseplus.nl/franchiseformule/steynallberg
Steak 'n Shake,2010,510,50,€ 750.000,€ 300.000,https://franchiseplus.nl/franchiseformule/steak-n-shake
Starbucks,,28218,,,,https://franchiseplus.nl/franchiseformule/starbucks
Staffing Associates,2010,90,90,€ 40.000,€ 25.000,https://franchiseplus.nl/franchiseformule/staffing-associates
Springkussenverhuur Nederland,2015,6,5,€ 5.000,€ 7.500,https://franchiseplus.nl/franchiseformule/springkussenverhuur-nederland
Sport-inn,,7,6,€ 200.000,€ 10.000,https://franchiseplus.nl/franchiseformule/sport-inn
Sport 2000 Soccer Center,1995,7,7,€ 300.000,,https://franchiseplus.nl/franchiseformule/sport-2000-soccer-center
SPORT 2000,1995,80,80,€ 500.000,,https://franchiseplus.nl/franchiseformule/sport-2000
Son of a Croque,2016,1,1,€ 50.000,€ 50.000,https://franchiseplus.nl/franchiseformule/son-of-a-croque
SPAR,1932,253,253,,€ 25.000,https://franchiseplus.nl/franchiseformule/spar
s.Oliver,1969,9,13,,,https://franchiseplus.nl/franchiseformule/soliver
Solar-systemen.nl,2012,8,8,€ 20.000,€ 10.000,https://franchiseplus.nl/franchiseformule/solar-systemennl
SOAP Treatment Store,,5,,,,https://franchiseplus.nl/franchiseformule/soap-treatment-store
Snak Appeal,2008,7,7,€ 6.000,€ 6.000,https://franchiseplus.nl/franchiseformule/snak-appeal
Sneakers,1997,44,21,€ 160.000,€ 50.000,https://franchiseplus.nl/franchiseformule/sneakers
Snackpoint,1996,88,88,,,https://franchiseplus.nl/franchiseformule/snackpoint
SmartFunding,2016,6,5,€ 12.500,€ 12.500,https://franchiseplus.nl/franchiseformule/smartfunding
Slender You,1996,33,33,€ 80.000,€ 25.000,https://franchiseplus.nl/franchiseformule/slender-you
SKUBIE,2015,1,,€ 35.000,€ 17.500,https://franchiseplus.nl/franchiseformule/skubie
Sjenkels,1989,11,6,€ 75.000,€ 40.000,https://franchiseplus.nl/franchiseformule/sjenkels
Size Zero,2015,42,37,€ 20.000,€ 5.000,https://franchiseplus.nl/franchiseformule/size-zero
Simitci Dunyasi,2016,6,6,€ 225.000,€ 121.500,https://franchiseplus.nl/franchiseformule/simitci-dunyasi
Shop for Geek,,,,,,https://franchiseplus.nl/franchiseformule/shop-for-geek
Shoeby,1997,225,115,€ 225.000,€ 30.000,https://franchiseplus.nl/franchiseformule/shoeby
Shell,2006,650,237,€ 175.000,€ 175.000,https://franchiseplus.nl/franchiseformule/shell
Select Windows,,14,,,,https://franchiseplus.nl/franchiseformule/select-windows
Schadenet,,100,100,,,https://franchiseplus.nl/franchiseformule/schadenet
Schadeherstelmeester,2014,156,50,€ 5.000,,https://franchiseplus.nl/franchiseformule/schadeherstelmeester
Sauter Wijnen,2013,5,4,,,https://franchiseplus.nl/franchiseformule/sauter-wijnen
Satebar,2017,6,,€ 205.000,,https://franchiseplus.nl/franchiseformule/satebar
Sanitiem,2000,21,21,,,https://franchiseplus.nl/franchiseformule/sanitiem
Sanisale.com,2001,37,36,€ 250.000,€ 100.000,https://franchiseplus.nl/franchiseformule/sanisalecom
Sanidrome,1993,30,30,,,https://franchiseplus.nl/franchiseformule/sanidrome
Sanidirect,2008,24,14,,€ 25.000,https://franchiseplus.nl/franchiseformule/sanidirect
Sani4all,2017,15,9,€ 150.000,€ 37.500,https://franchiseplus.nl/franchiseformule/sani4all
Sandwich,1976,35,25,€ 150.000,€ 20.000,https://franchiseplus.nl/franchiseformule/sandwich
SalesUpdate,2014,6,6,€ 5.750,€ 0,https://franchiseplus.nl/franchiseformule/salesupdate
Safety-atwork,2014,6,1,€ 17.500,€ 20.000,https://franchiseplus.nl/franchiseformule/safety-atwork
Safelocker,2019,2,1,,,https://franchiseplus.nl/franchiseformule/safelocker
Saar aan Huis,2015,28,25,,,https://franchiseplus.nl/franchiseformule/saar-aan-huis
RéBM Bedrijfsmakelaardij oz,,2,2,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/rebm-bedrijfsmakelaardij-oz
Runnersworld,1988,30,30,€ 200.000,€ 50.000,https://franchiseplus.nl/franchiseformule/runnersworld
Run2Day,1997,17,11,€ 130.000,€ 20.000,https://franchiseplus.nl/franchiseformule/run2day
RugZorgKliniek,2011,8,7,€ 30.000,€ 30.000,https://franchiseplus.nl/franchiseformule/rugzorgkliniek
Rots-Vast Groep,1989,20,12,€ 15.000,€ 10.000,https://franchiseplus.nl/franchiseformule/rots-vast-groep
Rombout Kappers,1943,24,23,,,https://franchiseplus.nl/franchiseformule/rombout-kappers
Riss,,23,23,€ 45.000,,https://franchiseplus.nl/franchiseformule/riss
Right at Home,,,,,,https://franchiseplus.nl/franchiseformule/right-at-home
Rical Cleaning Products,2017,1,,,€ 12.500,https://franchiseplus.nl/franchiseformule/rical-cleaning-products
Ribsfactory,2016,10,5,€ 250.000,€ 55.000,https://franchiseplus.nl/franchiseformule/ribsfactory
Restaurant Indonesia,2018,,,,,https://franchiseplus.nl/franchiseformule/restaurant-indonesia
Resolve Scheidingsbemiddeling,2009,19,19,€ 7.000,€ 7.000,https://franchiseplus.nl/franchiseformule/resolve-scheidingsbemiddeling
RE/MAX,1973,20,20,€ 50.000,€ 25.000,https://franchiseplus.nl/franchiseformule/remax
TING studiecoaching,2013,4,,,,https://franchiseplus.nl/franchiseformule/ting-studiecoaching
WANDMAN,2013,,,,,https://franchiseplus.nl/franchiseformule/wandman
Zusterindebuurt,2014,1,1,,,https://franchiseplus.nl/franchiseformule/zusterindebuurt
Zuster Evie,2015,32,31,€ 1.250,,https://franchiseplus.nl/franchiseformule/zuster-evie
Zuivelhoeve,1990,47,47,,€ 17.500,https://franchiseplus.nl/franchiseformule/zuivelhoeve
Zonwering aan Huis,,6,6,,,https://franchiseplus.nl/franchiseformule/zonwering-aan-huis
ZEKER Financiële Zorgverlening,2014,50,50,,,https://franchiseplus.nl/franchiseformule/zeker-financiele-zorgverlening
ZEKER,2019,2,,€ 10.000,,https://franchiseplus.nl/franchiseformule/zeker
Yves Rocher,1969,8,2,€ 70.000,€ 25.000,https://franchiseplus.nl/franchiseformule/yves-rocher
YorBody Fysiotherapie,2012,60,,€ 5.000,€ 5.000,https://franchiseplus.nl/franchiseformule/yorbody-fysiotherapie
Yoghurt Barn,2018,13,0,€ 200.000,€ 40.000,https://franchiseplus.nl/franchiseformule/yoghurt-barn
Yogen Früz,1986,4,3,€ 75.000,€ 50.000,https://franchiseplus.nl/franchiseformule/yogen-fruz
Xzellent,2007,5,,,,https://franchiseplus.nl/franchiseformule/xzellent
WowDeal,2012,18,14,€ 2.500,€ 2.500,https://franchiseplus.nl/franchiseformule/wowdeal
Woonstijl makelaars,2005,2,1,,,https://franchiseplus.nl/franchiseformule/woonstijl-makelaars
Woningontruiming Regionaal,2008,5,4,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/woningontruiming-regionaal
Woningkeur,2009,20,20,€ 1.000,€ 0,https://franchiseplus.nl/franchiseformule/woningkeur
Woninginrichting-Aanhuis.nl,,65,65,,,https://franchiseplus.nl/franchiseformule/woninginrichting-aanhuisnl
WONEN Makelaars,2019,2,1,,€ 10.000,https://franchiseplus.nl/franchiseformule/wonen-makelaars
Wok TO GO,2006,17,16,€ 150.000,,https://franchiseplus.nl/franchiseformule/wok-to-go
WitteWoning Makelaars,,16,,€ 5.000,€ 2.500,https://franchiseplus.nl/franchiseformule/wittewoning-makelaars
Wijnkoperij De Gouden Ton,1992,9,9,€ 200.000,€ 200.000,https://franchiseplus.nl/franchiseformule/wijnkoperij-gouden-ton
WEPP,2017,5,5,€ 40.000,€ 15.000,https://franchiseplus.nl/franchiseformule/wepp
WerkTalent,2001,15,15,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/werktalent
Welkoop,1970,152,91,€ 450.000,€ 100.000,https://franchiseplus.nl/franchiseformule/welkoop
Welcom,2011,20,20,€ 80.000,€ 30.000,https://franchiseplus.nl/franchiseformule/welcom
Wav-E For Ladies,2013,8,7,€ 50.000,€ 10.000,https://franchiseplus.nl/franchiseformule/wav-e-for-ladies
Wasbar,,,,,,https://franchiseplus.nl/franchiseformule/wasbar
Warmteservice,1995,63,34,,,https://franchiseplus.nl/franchiseformule/warmteservice
VULpunt,2006,7,6,€ 15.000,,https://franchiseplus.nl/franchiseformule/vulpunt
VRB Advies,2016,1,1,€ 20.000,€ 20.000,https://franchiseplus.nl/franchiseformule/vrb-advies
Voor Verf & Wonen,1987,81,81,€ 50.000,€ 20.000,https://franchiseplus.nl/franchiseformule/voor-verf-wonen
Vitaminstore,2004,35,10,€ 100.000,€ 25.000,https://franchiseplus.nl/franchiseformule/vitaminstore
Vicomputer,2003,4,4,€ 40.000,€ 10.000,https://franchiseplus.nl/franchiseformule/vicomputer
ViaViela,2005,56,50,,,https://franchiseplus.nl/franchiseformule/viaviela
Very Italian Pizza,,4,,,,https://franchiseplus.nl/franchiseformule/very-italian-pizza
Verhage,,41,41,€ 312.500,,https://franchiseplus.nl/franchiseformule/verhage
Verf en Wand,,23,23,€ 150.000,,https://franchiseplus.nl/franchiseformule/verf-wand
Vapiano,,,,,,https://franchiseplus.nl/franchiseformule/vapiano
Van Melik du Chef,,9,9,,,https://franchiseplus.nl/franchiseformule/van-melik-du-chef
Van Bruggen Adviesgroep,1995,62,62,,€ 25.000,https://franchiseplus.nl/franchiseformule/van-bruggen-adviesgroep
Vakgarage,1991,306,306,,,https://franchiseplus.nl/franchiseformule/vakgarage
VakantieXperts,,150,51,,,https://franchiseplus.nl/franchiseformule/vakantiexperts
UWassistent,2013,18,18,,,https://franchiseplus.nl/franchiseformule/uwassistent
Uw Slijter,2016,,,,,https://franchiseplus.nl/franchiseformule/uw-slijter
Uw Eigen Drogist,1995,130,130,€ 120.000,€ 20.000,https://franchiseplus.nl/franchiseformule/uw-eigen-drogist
Used Products,,53,49,€ 80.000,€ 20.000,https://franchiseplus.nl/franchiseformule/used-products
UNIGLOBE Travel,1980,18,18,€ 150.000,€ 60.000,https://franchiseplus.nl/franchiseformule/uniglobe-travel
Umami,,7,1,,,https://franchiseplus.nl/franchiseformule/umami
Trendhopper,1982,20,18,,€ 100.000,https://franchiseplus.nl/franchiseformule/trendhopper
Trekhaakcentrum.nl,2006,78,,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/trekhaakcentrumnl
Tosti World,2011,4,1,€ 30.000,€ 15.000,https://franchiseplus.nl/franchiseformule/tosti-world
Toscana IJssalon,1999,19,18,€ 175.000,€ 40.000,https://franchiseplus.nl/franchiseformule/toscana-ijssalon
TOPP,,12,12,,,https://franchiseplus.nl/franchiseformule/topp
Top1Toys,,96,96,€ 250.000,,https://franchiseplus.nl/franchiseformule/top1toys
Top Movers,,16,16,,,https://franchiseplus.nl/franchiseformule/top-movers
TONI&GUY,1996,7,7,€ 150.000,€ 37.500,https://franchiseplus.nl/franchiseformule/toniguy
Toko Indradjaja,,6,5,€ 80.000,€ 60.000,https://franchiseplus.nl/franchiseformule/toko-indradjaja
Tigra,,43,30,€ 20.000,,https://franchiseplus.nl/franchiseformule/tigra
Thuisin,,45,45,,,https://franchiseplus.nl/franchiseformule/thuisin
Thrill Grill,2017,4,,€ 250.000,€ 40.000,https://franchiseplus.nl/franchiseformule/thrill-grill
Thexton Armstrong,2011,25,25,€ 16.500,€ 16.500,https://franchiseplus.nl/franchiseformule/thexton-armstrong
The Wedding Planner School,2010,2,1,€ 65.000,,https://franchiseplus.nl/franchiseformule/wedding-planner-school
The Travel Club,2008,400,400,,,https://franchiseplus.nl/franchiseformule/travel-club
The Green Room,2002,16,15,€ 50.000,€ 10.000,https://franchiseplus.nl/franchiseformule/green-room
The Body Shop,1971,29,12,€ 100.000,€ 50.000,https://franchiseplus.nl/franchiseformule/body-shop
The Chocolate Company Café,2006,7,2,€ 175.000,€ 40.000,https://franchiseplus.nl/franchiseformule/chocolate-company-cafe
TGI Fridays,,900,600,,,https://franchiseplus.nl/franchiseformule/tgi-fridays
The Athlete's Foot,1990,60,60,€ 200.000,€ 55.000,https://franchiseplus.nl/franchiseformule/athletes-foot
Telecombinatie,1995,102,102,,,https://franchiseplus.nl/franchiseformule/telecombinatie
Telefoonmaken.nl,2013,100,100,,,https://franchiseplus.nl/franchiseformule/telefoonmakennl
TECHNIFY,2013,7,7,,,https://franchiseplus.nl/franchiseformule/technify
TechniciNu,,,,,,https://franchiseplus.nl/franchiseformule/technicinu
Team Kappers,1987,77,75,€ 80.000,,https://franchiseplus.nl/franchiseformule/team-kappers
TanQyou,2016,24,2,,,https://franchiseplus.nl/franchiseformule/tanqyou
TalentFirst,2001,26,26,,,https://franchiseplus.nl/franchiseformule/talentfirst
Taco Bell,,,,,,https://franchiseplus.nl/franchiseformule/taco-bell
't Zusje,2012,28,27,€ 850.000,€ 150.000,https://franchiseplus.nl/franchiseformule/t-zusje
't Verswarenhuys,2014,2,,,,https://franchiseplus.nl/franchiseformule/t-verswarenhuys
t Stoepje,1980,139,130,€ 125.000,€ 35.000,https://franchiseplus.nl/franchiseformule/t-stoepje
Syntax,2009,3,2,,,https://franchiseplus.nl/franchiseformule/syntax
Swirl’s Ice Cream,1995,99,,€ 32.500,,https://franchiseplus.nl/franchiseformule/swirls-ice-cream
Svea keukens,2008,10,9,,,https://franchiseplus.nl/franchiseformule/svea-keukens
SushiPoint,2011,29,14,,,https://franchiseplus.nl/franchiseformule/sushipoint
Sushi Time,2002,11,5,€ 70.000,€ 20.000,https://franchiseplus.nl/franchiseformule/sushi-time
Supervlaai,1993,15,15,,,https://franchiseplus.nl/franchiseformule/supervlaai
